0054;0054;COMÚ DE LLEIDA                                         ;AGRUPACIÓ D'ELECTORS 'COMÚ DE LLEIDA'                                                                                   ;66FFE0;
0055;0055;C. i P.                                                ;AGRUPACIÓ D'ELECTORS CONVIVÈNCIA I PROGRÉS                                                                              ;A4C1BD;
0056;0056;AE MM-SD                                               ;AGRUPACIÓ D'ELECTORS DE LA MORERA DE MONTSANT - SCALA DEI                                                               ;42A0FF;
0057;0057;AES                                                    ;AGRUPACIÓ D'ELECTORS DE SAGÀS                                                                                           ;6DB6B6;
0058;0058;AEVH                                                   ;AGRUPACIÓ D'ELECTORS DE VANDELLÒS I L'HOSPITALET DE L'INFANT                                                            ;E100E1;
0059;0059;AEO                                                    ;AGRUPACIÓ D'ELECTORS D'ODÈN                                                                                             ;B66CFF;
0060;0060;EOB                                                    ;AGRUPACIÓ D'ELECTORS ESQUERRA OBERTA BUNYOLA                                                                            ;C5C589;
0061;0061;AGRUPACIÓ D' ELECTORS FEM POBLE                        ;AGRUPACIÓ D'ELECTORS FEM POBLE                                                                                          ;FFBE7D;
0062;0062;AGRUPACIÓ D' ELECTORS FEM SITGES                       ;AGRUPACIÓ D'ELECTORS FEM SITGES                                                                                         ;FF5959;
0063;0063;AEIG                                                   ;AGRUPACIÓ D'ELECTORS INDEPENDENTS DE GUIXERS                                                                            ;5EFF5E;
0064;0064;AGRUPACIÓ D'ELECTORS INDEPENDENTS DE LA MOLSOSA        ;AGRUPACIÓ D'ELECTORS INDEPENDENTS DE LA MOLSOSA                                                                         ;FFFFBB;
0065;0065;IPL                                                    ;AGRUPACIO D'ELECTORS 'INDEPENDENTS PER LLOMBAI'                                                                         ;D5AAAA;
0066;0066;AEIPM                                                  ;AGRUPACIÓ D'ELECTORS INDEPENDENTS PER MONTROY                                                                           ;91D9CA;
0067;0067;AEIO                                                   ;AGRUPACIÓ D'ELECTORS INDEPENDENTS PER OLIUS                                                                             ;EADCA6;
0068;0068;AEIT                                                   ;AGRUPACIÓ D'ELECTORS INDEPENDIENTS PER TÁRBENA                                                                          ;E2F997;
0069;0069;JUNTS PER ALARÓ                                        ;AGRUPACIÓ D'ELECTORS JUNTS PER ALARÓ                                                                                    ;9BFBCD;
0070;0070;Plataforma Calera                                      ;AGRUPACIÓ D'ELECTORS PLATAFORMA CALERA                                                                                  ;AFA5C0;
0071;0071;SC                                                     ;AGRUPACIO D'ELECTORS SOM CONSELL                                                                                        ;C1A4AE;
0072;0072;AGRUPACIÓ D'ELECTORS 'SOM LLOSETA'                     ;AGRUPACIÓ D'ELECTORS 'SOM LLOSETA'                                                                                      ;F5C4FD;
0073;0073;SOM TORTOSA                                            ;AGRUPACIÓ D'ELECTORS SOM TORTOSA                                                                                        ;C1FF66;
0074;0074;SOM VNG                                                ;AGRUPACIÓ D'ELECTORS SOM VNG                                                                                            ;E9A57C;
0075;0075;A.E.T.F.F.!                                            ;AGRUPACIO D'ELECTORS (TORRELLES FONT DE FUTUR)                                                                          ;A4D1FF;
0076;0076;VOLPE                                                  ;AGRUPACIÓ D'ELECTORS VOLEM PEGO                                                                                         ;FF71FF;
0077;2115;AM-AM                                                  ;AGRUPACIÓ DE MOLARENCS-ACORD MUNICIPAL                                                                                  ;8B17FF;
0078;5426;AESC-E                                                 ;AGRUPACIÓ D'ESQUERRES SANT CLIMENT-ENTESA                                                                               ;FFBE7D;
0079;2115;ADV - AM                                               ;AGRUPACIÓ DE VEÏNS - ACORD MUNICIPAL                                                                                    ;8B17FF;
0080;0080;AIV                                                    ;AGRUPACIÓ D'INDEPENDENTS PER VALLBONA                                                                                   ;DBB7FF;
0081;0081;AIPN                                                   ;AGRUPACIO D'INDEPENDENTS, PROGRESSISTES I NACIONALISTES                                                                 ;FFD9B3;
0082;2115;AIPN-AM                                                ;Agrupació d'Independents, Progressistes i Nacionalistes-Acord Municipal                                                 ;8B17FF;
0083;0083;ES                                                     ;AGRUPACIÓ ELCTORS SELLA                                                                                                 ;FF9D9D;
0084;0084;+BV                                                    ;AGRUPACIO ELECTORAL +BELLVEI                                                                                            ;C1FFC1;
0085;0085;AEIFR                                                  ;AGRUPACIÓ ELECTORS INDEPENDENTS 'FEM RIUDAURA'                                                                          ;8686C4;
0086;0086;AES                                                    ;AGRUPACIÓ ELECTORS SAVALL                                                                                               ;6DB6B6;
0087;0087;AIPD                                                   ;AGRUPACIO INDEPENDENT DE LA POBLA DEL DUC                                                                               ;ACACD7;
0088;0088;AIPC /SYS                                              ;AGRUPACIÓ INDEPENDENT DE PORTO CRISTO Y S'ILLOTERS Y SIMPATIZANTES                                                      ;003080;
0089;5416;AIR-IdSELVA                                            ;AGRUPACIÓ INDEPENDENT DE RIUDARENES - INDEPENDENTS DE LA SELVA                                                          ;FFCEFF;
0090;0090;AITOR                                                  ;AGRUPACIÓ INDEPENDENT DE TORRELLA                                                                                       ;EC799D;
0091;0091;A.I.G.U.A.                                             ;AGRUPACIO INDEPENDENT GENERAL D'URBANITZACIONS I ASSOCIACIONS                                                           ;666AFF;
0092;2271;AISA - F.I.C.                                          ;AGRUPACIÓ INDEPENDENTS LA SERRA D'ALMOS (AISA) - FEDERACIO D'INDEPENDENTS DE CATALUNYA (FIC)                            ;004182;
0094;2115;ALM - ERC - MES - AM                                   ;AGRUPACIÓ LA MUGA- ESQUERRA REBUPLICANA DE CATALUNYA - ACORD MUNICIPAL                                                  ;8B17FF;
0095;2271;AMPEP-F.I.C.                                           ;AGRUPACIÓ MUNICIPAL DE PERAFORT I PUIGDELFI-FEDERACIO D'INDEPENDENTS DE CATALUNYA                                       ;326565;
0096;0096;AMI-B                                                  ;AGRUPACIÓ MUNICIPAL INDEPENDENT - BORDILS                                                                               ;5E005E;
0097;0097;AAR                                                    ;AGRUPACION ABIERTA ROBLEDO                                                                                              ;6900D2;
0099;0099;AA                                                     ;AGRUPACION AIRATE                                                                                                       ;626231;
0100;0100;A++                                                    ;AGRUPACION ALTERNATIVA AZAGRESA                                                                                         ;804000;
0101;0101;A.A.T.                                                 ;AGRUPACIÓN ALTERNATIVA POR TORRELAGUNA                                                                                  ;B70000;
0102;0102;A.N.                                                   ;AGRUPACION AMIGOS DE NAMBROCA                                                                                           ;008C00;
0105;0105;AA                                                     ;AGRUPACIÓN ARGA                                                                                                         ;626231;
0107;0107;A.A.                                                   ;AGRUPACION ARRANOMENDI                                                                                                  ;626231;
0110;0110;AAB                                                    ;AGRUPACION AYUNTAMIENTO DE BERRIOPLANO                                                                                  ;DFDF00;
0112;0112;ACLS                                                   ;AGRUPACION CENTRO LIBERAL POR SIRUELA                                                                                   ;A25151;
0113;0113;A.C.L.                                                 ;AGRUPACION CIDADANS DE LOBEIRA                                                                                          ;2BFFFF;
0114;3201;GANEMOS                                                ;AGRUPACION CIUDADANA-GANEMOS CASAS IBAÑEZ                                                                               ;00A600;
0115;0115;ACIPA                                                  ;AGRUPACIÓN CIUDADANA INDEPENDIENTE PARA ARANJUEZ                                                                        ;38A791;
0116;0116;ACS                                                    ;AGRUPACION CIVICA SALENSE                                                                                               ;D0B135;
0119;0119;ACORDE                                                 ;AGRUPACION CORTECONCEPCION DE ELECTORES                                                                                 ;ACDA0E;
0120;0120;A.A.D.                                                 ;AGRUPACION DE AMIGOS DE DESOJO                                                                                          ;09DD78;
0121;0121;A D B                                                  ;AGRUPACION DE BATRES                                                                                                    ;647B95;
0122;0122;ACC                                                    ;AGRUPACION DE CASTROVERDE DE CERRATO                                                                                    ;DCC569;
0123;0123;ACGO                                                   ;AGRUPACIÓN DE CENTRISTAS GONDOMAR                                                                                       ;C4C79E;
0124;0124;ACIP                                                   ;AGRUPACION DE CIUDADANOS DE PAREDES                                                                                     ;006BD7;
0125;0125;aCes                                                   ;AGRUPACION DE CIUDADANOS POR ELCHE DE LA SIERRA                                                                         ;499494;
0126;0126;AGUILAS PUEDE                                          ;AGRUPACION DE ELECTORES 'AGUILAS PUEDE'                                                                                 ;8C008C;
0127;0127;Ahora Ontígola                                         ;AGRUPACION DE ELECTORES AHORA ONTÍGOLA                                                                                  ;8B17FF;
0128;0128;AHORA VQ                                               ;AGRUPACION DE ELECTORES AHORA VILLAQUILAMBRE                                                                            ;99994D;
0129;0129;A-E ALDEANOS                                           ;AGRUPACIÓN DE ELECTORES ALDEA EN CABO                                                                                   ;FD7E00;
